REF_DATE,GEO,Vehicle type,Origin of manufacture, Sales in dollars ,Sales in units
2020-06,Newfoundland and Labrador,Passenger cars,North America,10350.00,415
2020-06,Newfoundland and Labrador,Passenger cars,Total overseas,6488.00,203
2020-06,Newfoundland and Labrador,Passenger cars,Japan,0.00,0
2020-06,Newfoundland and Labrador,Passenger cars,Other countries,0.00,0
2020-06,Newfoundland and Labrador,Trucks,North America,84276.00,2153
2020-06,Newfoundland and Labrador,Trucks,Total overseas,20659.00,614
2020-06,Prince Edward Island,Passenger cars,North America,3200.00,124
2020-06,Prince Edward Island,Passenger cars,Total overseas,1724.00,59
2020-06,Prince Edward Island,Passenger cars,Japan,0.00,0
2020-06,Prince Edward Island,Passenger cars,Other countries,0.00,0
2020-06,Prince Edward Island,Trucks,North America,19391.00,448
2020-06,Prince Edward Island,Trucks,Total overseas,4588.00,141
2020-06,Nova Scotia,Passenger cars,North America,17499.00,655
2020-06,Nova Scotia,Passenger cars,Total overseas,8850.00,274
2020-06,Nova Scotia,Passenger cars,Japan,2161.00,74
2020-06,Nova Scotia,Passenger cars,Other countries,6689.00,200
2020-06,Nova Scotia,Trucks,North America,90997.00,2079
2020-06,Nova Scotia,Trucks,Total overseas,27914.00,811
2020-06,New Brunswick,Passenger cars,North America,11528.00,433
2020-06,New Brunswick,Passenger cars,Total overseas,8934.00,253
2020-06,New Brunswick,Passenger cars,Japan,1838.00,57
2020-06,New Brunswick,Passenger cars,Other countries,7096.00,196
2020-06,New Brunswick,Trucks,North America,96701.00,1930
2020-06,New Brunswick,Trucks,Total overseas,25483.00,739
2020-06,Quebec,Passenger cars,North America,209711.00,7835
2020-06,Quebec,Passenger cars,Total overseas,193916.00,5095
2020-06,Quebec,Passenger cars,Japan,51451.00,1609
2020-06,Quebec,Passenger cars,Other countries,142465.00,3486
2020-06,Quebec,Trucks,North America,936415.00,19653
2020-06,Quebec,Trucks,Total overseas,367536.00,9844
2020-06,Ontario,Passenger cars,North America,237909.00,7631
2020-06,Ontario,Passenger cars,Total overseas,216916.00,4900
2020-06,Ontario,Passenger cars,Japan,40333.00,1200
2020-06,Ontario,Passenger cars,Other countries,176583.00,3700
2020-06,Ontario,Trucks,North America,1776030.00,35329
2020-06,Ontario,Trucks,Total overseas,448722.00,10571
2020-06,Manitoba,Passenger cars,North America,13161.00,458
2020-06,Manitoba,Passenger cars,Total overseas,8685.00,233
2020-06,Manitoba,Passenger cars,Japan,2017.00,58
2020-06,Manitoba,Passenger cars,Other countries,6668.00,175
2020-06,Manitoba,Trucks,North America,143338.00,2772
2020-06,Manitoba,Trucks,Total overseas,27473.00,706
2020-06,Saskatchewan,Passenger cars,North America,7018.00,230
2020-06,Saskatchewan,Passenger cars,Total overseas,6167.00,172
2020-06,Saskatchewan,Passenger cars,Japan,1207.00,36
2020-06,Saskatchewan,Passenger cars,Other countries,4960.00,136
2020-06,Saskatchewan,Trucks,North America,143926.00,2836
2020-06,Saskatchewan,Trucks,Total overseas,15791.00,409
2020-06,Alberta,Passenger cars,North America,35511.00,1160
2020-06,Alberta,Passenger cars,Total overseas,36764.00,941
2020-06,Alberta,Passenger cars,Japan,7201.00,228
2020-06,Alberta,Passenger cars,Other countries,29563.00,713
2020-06,Alberta,Trucks,North America,589506.00,10878
2020-06,Alberta,Trucks,Total overseas,100616.00,2315
2020-06,British Columbia and the Territories,Passenger cars,North America,45899.00,1475
2020-06,British Columbia and the Territories,Passenger cars,Total overseas,61343.00,1404
2020-06,British Columbia and the Territories,Passenger cars,Japan,14177.00,438
2020-06,British Columbia and the Territories,Passenger cars,Other countries,47166.00,966
2020-06,British Columbia and the Territories,Trucks,North America,411440.00,8170
2020-06,British Columbia and the Territories,Trucks,Total overseas,123543.00,2731
2020-07,Newfoundland and Labrador,Passenger cars,North America,9507.00,369
2020-07,Newfoundland and Labrador,Passenger cars,Total overseas,6341.00,196
2020-07,Newfoundland and Labrador,Passenger cars,Japan,0.00,0
2020-07,Newfoundland and Labrador,Passenger cars,Other countries,0.00,0
2020-07,Newfoundland and Labrador,Trucks,North America,96689.00,2206
2020-07,Newfoundland and Labrador,Trucks,Total overseas,20515.00,621
2020-07,Prince Edward Island,Passenger cars,North America,3345.00,132
2020-07,Prince Edward Island,Passenger cars,Total overseas,998.00,38
2020-07,Prince Edward Island,Passenger cars,Japan,0.00,0
2020-07,Prince Edward Island,Passenger cars,Other countries,0.00,0
2020-07,Prince Edward Island,Trucks,North America,19854.00,467
2020-07,Prince Edward Island,Trucks,Total overseas,5145.00,158
2020-07,Nova Scotia,Passenger cars,North America,17222.00,623
2020-07,Nova Scotia,Passenger cars,Total overseas,11897.00,342
2020-07,Nova Scotia,Passenger cars,Japan,2633.00,94
2020-07,Nova Scotia,Passenger cars,Other countries,9264.00,248
2020-07,Nova Scotia,Trucks,North America,113915.00,2522
2020-07,Nova Scotia,Trucks,Total overseas,33218.00,934
2020-07,New Brunswick,Passenger cars,North America,13001.00,489
2020-07,New Brunswick,Passenger cars,Total overseas,7632.00,222
2020-07,New Brunswick,Passenger cars,Japan,1973.00,61
2020-07,New Brunswick,Passenger cars,Other countries,5659.00,161
2020-07,New Brunswick,Trucks,North America,115527.00,2473
2020-07,New Brunswick,Trucks,Total overseas,24498.00,705
2020-07,Quebec,Passenger cars,North America,186350.00,7106
2020-07,Quebec,Passenger cars,Total overseas,204866.00,4893
2020-07,Quebec,Passenger cars,Japan,45231.00,1467
2020-07,Quebec,Passenger cars,Other countries,159635.00,3426
2020-07,Quebec,Trucks,North America,1040699.00,21576
2020-07,Quebec,Trucks,Total overseas,367337.00,9738
2020-07,Ontario,Passenger cars,North America,238961.00,8210
2020-07,Ontario,Passenger cars,Total overseas,267764.00,5589
2020-07,Ontario,Passenger cars,Japan,41156.00,1269
2020-07,Ontario,Passenger cars,Other countries,226608.00,4320
2020-07,Ontario,Trucks,North America,1998913.00,41772
2020-07,Ontario,Trucks,Total overseas,474944.00,11495
2020-07,Manitoba,Passenger cars,North America,14072.00,519
2020-07,Manitoba,Passenger cars,Total overseas,8799.00,234
2020-07,Manitoba,Passenger cars,Japan,2219.00,65
2020-07,Manitoba,Passenger cars,Other countries,6579.00,169
2020-07,Manitoba,Trucks,North America,176769.00,3468
2020-07,Manitoba,Trucks,Total overseas,26211.00,664
2020-07,Saskatchewan,Passenger cars,North America,6997.00,232
2020-07,Saskatchewan,Passenger cars,Total overseas,5650.00,146
2020-07,Saskatchewan,Passenger cars,Japan,1386.00,43
2020-07,Saskatchewan,Passenger cars,Other countries,4264.00,103
2020-07,Saskatchewan,Trucks,North America,162152.00,3206
2020-07,Saskatchewan,Trucks,Total overseas,18518.00,459
2020-07,Alberta,Passenger cars,North America,42201.00,1324
2020-07,Alberta,Passenger cars,Total overseas,36178.00,782
2020-07,Alberta,Passenger cars,Japan,8919.00,278
2020-07,Alberta,Passenger cars,Other countries,27259.00,504
2020-07,Alberta,Trucks,North America,734036.00,14180
2020-07,Alberta,Trucks,Total overseas,111447.00,2621
2020-07,British Columbia and the Territories,Passenger cars,North America,51066.00,1638
2020-07,British Columbia and the Territories,Passenger cars,Total overseas,66028.00,1412
2020-07,British Columbia and the Territories,Passenger cars,Japan,14925.00,467
2020-07,British Columbia and the Territories,Passenger cars,Other countries,51103.00,945
2020-07,British Columbia and the Territories,Trucks,North America,483307.00,9633
2020-07,British Columbia and the Territories,Trucks,Total overseas,141220.00,3176
2020-08,Newfoundland and Labrador,Passenger cars,North America,10127.00,409
2020-08,Newfoundland and Labrador,Passenger cars,Total overseas,4974.00,156
2020-08,Newfoundland and Labrador,Passenger cars,Japan,0.00,0
2020-08,Newfoundland and Labrador,Passenger cars,Other countries,0.00,0
2020-08,Newfoundland and Labrador,Trucks,North America,94335.00,2158
2020-08,Newfoundland and Labrador,Trucks,Total overseas,17023.00,513
2020-08,Prince Edward Island,Passenger cars,North America,3660.00,143
2020-08,Prince Edward Island,Passenger cars,Total overseas,1097.00,40
2020-08,Prince Edward Island,Passenger cars,Japan,0.00,0
2020-08,Prince Edward Island,Passenger cars,Other countries,0.00,0
2020-08,Prince Edward Island,Trucks,North America,23018.00,550
2020-08,Prince Edward Island,Trucks,Total overseas,3826.00,118
2020-08,Nova Scotia,Passenger cars,North America,19452.00,719
2020-08,Nova Scotia,Passenger cars,Total overseas,10859.00,323
2020-08,Nova Scotia,Passenger cars,Japan,2489.00,86
2020-08,Nova Scotia,Passenger cars,Other countries,8370.00,237
2020-08,Nova Scotia,Trucks,North America,118002.00,2598
2020-08,Nova Scotia,Trucks,Total overseas,32010.00,910
2020-08,New Brunswick,Passenger cars,North America,12387.00,474
2020-08,New Brunswick,Passenger cars,Total overseas,7377.00,211
2020-08,New Brunswick,Passenger cars,Japan,1685.00,52
2020-08,New Brunswick,Passenger cars,Other countries,5692.00,159
2020-08,New Brunswick,Trucks,North America,121504.00,2570
2020-08,New Brunswick,Trucks,Total overseas,22929.00,655
2020-08,Quebec,Passenger cars,North America,182414.00,6940
2020-08,Quebec,Passenger cars,Total overseas,155197.00,3946
2020-08,Quebec,Passenger cars,Japan,35532.00,1158
2020-08,Quebec,Passenger cars,Other countries,119665.00,2788
2020-08,Quebec,Trucks,North America,1018009.00,21202
2020-08,Quebec,Trucks,Total overseas,364621.00,9715
2020-08,Ontario,Passenger cars,North America,275546.00,9280
2020-08,Ontario,Passenger cars,Total overseas,242675.00,5137
2020-08,Ontario,Passenger cars,Japan,38183.00,1152
2020-08,Ontario,Passenger cars,Other countries,204492.00,3985
2020-08,Ontario,Trucks,North America,2128895.00,45199
2020-08,Ontario,Trucks,Total overseas,514098.00,11554
2020-08,Manitoba,Passenger cars,North America,12918.00,459
2020-08,Manitoba,Passenger cars,Total overseas,10115.00,244
2020-08,Manitoba,Passenger cars,Japan,2027.00,59
2020-08,Manitoba,Passenger cars,Other countries,8088.00,185
2020-08,Manitoba,Trucks,North America,185753.00,3622
2020-08,Manitoba,Trucks,Total overseas,26776.00,709
2020-08,Saskatchewan,Passenger cars,North America,8149.00,270
2020-08,Saskatchewan,Passenger cars,Total overseas,6633.00,147
2020-08,Saskatchewan,Passenger cars,Japan,944.00,30
2020-08,Saskatchewan,Passenger cars,Other countries,5689.00,117
2020-08,Saskatchewan,Trucks,North America,183755.00,3642
2020-08,Saskatchewan,Trucks,Total overseas,21237.00,547
2020-08,Alberta,Passenger cars,North America,48972.00,1575
2020-08,Alberta,Passenger cars,Total overseas,31556.00,676
2020-08,Alberta,Passenger cars,Japan,6420.00,209
2020-08,Alberta,Passenger cars,Other countries,25136.00,467
2020-08,Alberta,Trucks,North America,744529.00,14570
2020-08,Alberta,Trucks,Total overseas,97559.00,2304
2020-08,British Columbia and the Territories,Passenger cars,North America,55962.00,1854
2020-08,British Columbia and the Territories,Passenger cars,Total overseas,72830.00,1532
2020-08,British Columbia and the Territories,Passenger cars,Japan,15290.00,471
2020-08,British Columbia and the Territories,Passenger cars,Other countries,57540.00,1061
2020-08,British Columbia and the Territories,Trucks,North America,520014.00,10618
2020-08,British Columbia and the Territories,Trucks,Total overseas,143178.00,3295
2020-09,Newfoundland and Labrador,Passenger cars,North America,8835.00,361
2020-09,Newfoundland and Labrador,Passenger cars,Total overseas,6019.00,164
2020-09,Newfoundland and Labrador,Passenger cars,Japan,0.00,0
2020-09,Newfoundland and Labrador,Passenger cars,Other countries,0.00,0
2020-09,Newfoundland and Labrador,Trucks,North America,88503.00,2050
2020-09,Newfoundland and Labrador,Trucks,Total overseas,16516.00,486
2020-09,Prince Edward Island,Passenger cars,North America,2647.00,108
2020-09,Prince Edward Island,Passenger cars,Total overseas,1157.00,41
2020-09,Prince Edward Island,Passenger cars,Japan,0.00,0
2020-09,Prince Edward Island,Passenger cars,Other countries,0.00,0
2020-09,Prince Edward Island,Trucks,North America,21381.00,512
2020-09,Prince Edward Island,Trucks,Total overseas,4659.00,138
2020-09,Nova Scotia,Passenger cars,North America,17651.00,683
2020-09,Nova Scotia,Passenger cars,Total overseas,9577.00,298
2020-09,Nova Scotia,Passenger cars,Japan,2355.00,81
2020-09,Nova Scotia,Passenger cars,Other countries,7222.00,217
2020-09,Nova Scotia,Trucks,North America,124438.00,2789
2020-09,Nova Scotia,Trucks,Total overseas,29208.00,802
2020-09,New Brunswick,Passenger cars,North America,11857.00,463
2020-09,New Brunswick,Passenger cars,Total overseas,7299.00,205
2020-09,New Brunswick,Passenger cars,Japan,1811.00,54
2020-09,New Brunswick,Passenger cars,Other countries,5488.00,151
2020-09,New Brunswick,Trucks,North America,123270.00,2663
2020-09,New Brunswick,Trucks,Total overseas,22474.00,643
2020-09,Quebec,Passenger cars,North America,178872.00,6810
2020-09,Quebec,Passenger cars,Total overseas,173119.00,4145
2020-09,Quebec,Passenger cars,Japan,37804.00,1234
2020-09,Quebec,Passenger cars,Other countries,135315.00,2911
2020-09,Quebec,Trucks,North America,1056998.00,22224
2020-09,Quebec,Trucks,Total overseas,354988.00,9735
2020-09,Ontario,Passenger cars,North America,241873.00,8329
2020-09,Ontario,Passenger cars,Total overseas,220097.00,4760
2020-09,Ontario,Passenger cars,Japan,37309.00,1136
2020-09,Ontario,Passenger cars,Other countries,182788.00,3624
2020-09,Ontario,Trucks,North America,2181195.00,46286
2020-09,Ontario,Trucks,Total overseas,454778.00,10961
2020-09,Manitoba,Passenger cars,North America,14070.00,502
2020-09,Manitoba,Passenger cars,Total overseas,8087.00,206
2020-09,Manitoba,Passenger cars,Japan,1546.00,47
2020-09,Manitoba,Passenger cars,Other countries,6540.00,159
2020-09,Manitoba,Trucks,North America,194373.00,3900
2020-09,Manitoba,Trucks,Total overseas,24010.00,587
2020-09,Saskatchewan,Passenger cars,North America,9325.00,310
2020-09,Saskatchewan,Passenger cars,Total overseas,4762.00,114
2020-09,Saskatchewan,Passenger cars,Japan,1185.00,31
2020-09,Saskatchewan,Passenger cars,Other countries,3576.00,83
2020-09,Saskatchewan,Trucks,North America,194244.00,3778
2020-09,Saskatchewan,Trucks,Total overseas,17867.00,428
2020-09,Alberta,Passenger cars,North America,46109.00,1511
2020-09,Alberta,Passenger cars,Total overseas,35073.00,737
2020-09,Alberta,Passenger cars,Japan,6837.00,221
2020-09,Alberta,Passenger cars,Other countries,28236.00,516
2020-09,Alberta,Trucks,North America,779330.00,15305
2020-09,Alberta,Trucks,Total overseas,106693.00,2425
2020-09,British Columbia and the Territories,Passenger cars,North America,58760.00,1889
2020-09,British Columbia and the Territories,Passenger cars,Total overseas,80403.00,1614
2020-09,British Columbia and the Territories,Passenger cars,Japan,18856.00,586
2020-09,British Columbia and the Territories,Passenger cars,Other countries,61547.00,1028
2020-09,British Columbia and the Territories,Trucks,North America,585874.00,11682
2020-09,British Columbia and the Territories,Trucks,Total overseas,144635.00,3258
2020-10,Newfoundland and Labrador,Passenger cars,North America,6702.00,273
2020-10,Newfoundland and Labrador,Passenger cars,Total overseas,4209.00,131
2020-10,Newfoundland and Labrador,Passenger cars,Japan,0.00,0
2020-10,Newfoundland and Labrador,Passenger cars,Other countries,0.00,0
2020-10,Newfoundland and Labrador,Trucks,North America,76321.00,1728
2020-10,Newfoundland and Labrador,Trucks,Total overseas,18356.00,555
2020-10,Prince Edward Island,Passenger cars,North America,2717.00,107
2020-10,Prince Edward Island,Passenger cars,Total overseas,835.00,29
2020-10,Prince Edward Island,Passenger cars,Japan,0.00,0
2020-10,Prince Edward Island,Passenger cars,Other countries,0.00,0
2020-10,Prince Edward Island,Trucks,North America,19883.00,476
2020-10,Prince Edward Island,Trucks,Total overseas,4380.00,136
2020-10,Nova Scotia,Passenger cars,North America,14196.00,548
2020-10,Nova Scotia,Passenger cars,Total overseas,9390.00,281
2020-10,Nova Scotia,Passenger cars,Japan,1653.00,59
2020-10,Nova Scotia,Passenger cars,Other countries,7737.00,222
2020-10,Nova Scotia,Trucks,North America,110334.00,2486
2020-10,Nova Scotia,Trucks,Total overseas,31398.00,879
2020-10,New Brunswick,Passenger cars,North America,9770.00,364
2020-10,New Brunswick,Passenger cars,Total overseas,5433.00,173
2020-10,New Brunswick,Passenger cars,Japan,1442.00,52
2020-10,New Brunswick,Passenger cars,Other countries,3991.00,121
2020-10,New Brunswick,Trucks,North America,98474.00,2113
2020-10,New Brunswick,Trucks,Total overseas,22837.00,654
2020-10,Quebec,Passenger cars,North America,151495.00,5567
2020-10,Quebec,Passenger cars,Total overseas,132687.00,3353
2020-10,Quebec,Passenger cars,Japan,31773.00,1007
2020-10,Quebec,Passenger cars,Other countries,100914.00,2346
2020-10,Quebec,Trucks,North America,889191.00,19052
2020-10,Quebec,Trucks,Total overseas,380904.00,10353
2020-10,Ontario,Passenger cars,North America,230356.00,7643
2020-10,Ontario,Passenger cars,Total overseas,192569.00,4416
2020-10,Ontario,Passenger cars,Japan,33560.00,1042
2020-10,Ontario,Passenger cars,Other countries,159008.00,3374
2020-10,Ontario,Trucks,North America,2013457.00,41740
2020-10,Ontario,Trucks,Total overseas,464232.00,11052
2020-10,Manitoba,Passenger cars,North America,12485.00,451
2020-10,Manitoba,Passenger cars,Total overseas,9549.00,258
2020-10,Manitoba,Passenger cars,Japan,1544.00,45
2020-10,Manitoba,Passenger cars,Other countries,8006.00,213
2020-10,Manitoba,Trucks,North America,188033.00,3634
2020-10,Manitoba,Trucks,Total overseas,26829.00,682
2020-10,Saskatchewan,Passenger cars,North America,7948.00,265
2020-10,Saskatchewan,Passenger cars,Total overseas,3830.00,124
2020-10,Saskatchewan,Passenger cars,Japan,873.00,29
2020-10,Saskatchewan,Passenger cars,Other countries,2957.00,95
2020-10,Saskatchewan,Trucks,North America,177900.00,3474
2020-10,Saskatchewan,Trucks,Total overseas,21397.00,545
2020-10,Alberta,Passenger cars,North America,35743.00,1127
2020-10,Alberta,Passenger cars,Total overseas,22946.00,528
2020-10,Alberta,Passenger cars,Japan,4998.00,156
2020-10,Alberta,Passenger cars,Other countries,17948.00,372
2020-10,Alberta,Trucks,North America,729308.00,13761
2020-10,Alberta,Trucks,Total overseas,109633.00,2463
2020-10,British Columbia and the Territories,Passenger cars,North America,49193.00,1627
2020-10,British Columbia and the Territories,Passenger cars,Total overseas,57630.00,1265
2020-10,British Columbia and the Territories,Passenger cars,Japan,13635.00,410
2020-10,British Columbia and the Territories,Passenger cars,Other countries,43995.00,855
2020-10,British Columbia and the Territories,Trucks,North America,557567.00,11104
2020-10,British Columbia and the Territories,Trucks,Total overseas,162564.00,3681
2020-11,Newfoundland and Labrador,Passenger cars,North America,4344.00,170
2020-11,Newfoundland and Labrador,Passenger cars,Total overseas,2824.00,79
2020-11,Newfoundland and Labrador,Passenger cars,Japan,0.00,0
2020-11,Newfoundland and Labrador,Passenger cars,Other countries,0.00,0
2020-11,Newfoundland and Labrador,Trucks,North America,59734.00,1334
2020-11,Newfoundland and Labrador,Trucks,Total overseas,18129.00,531
2020-11,Prince Edward Island,Passenger cars,North America,1906.00,73
2020-11,Prince Edward Island,Passenger cars,Total overseas,740.00,27
2020-11,Prince Edward Island,Passenger cars,Japan,0.00,0
2020-11,Prince Edward Island,Passenger cars,Other countries,0.00,0
2020-11,Prince Edward Island,Trucks,North America,14001.00,326
2020-11,Prince Edward Island,Trucks,Total overseas,4285.00,129
2020-11,Nova Scotia,Passenger cars,North America,11526.00,432
2020-11,Nova Scotia,Passenger cars,Total overseas,7128.00,204
2020-11,Nova Scotia,Passenger cars,Japan,1734.00,61
2020-11,Nova Scotia,Passenger cars,Other countries,5394.00,143
2020-11,Nova Scotia,Trucks,North America,83429.00,1816
2020-11,Nova Scotia,Trucks,Total overseas,23576.00,659
2020-11,New Brunswick,Passenger cars,North America,7071.00,264
2020-11,New Brunswick,Passenger cars,Total overseas,4512.00,139
2020-11,New Brunswick,Passenger cars,Japan,940.00,32
2020-11,New Brunswick,Passenger cars,Other countries,3572.00,107
2020-11,New Brunswick,Trucks,North America,86346.00,1764
2020-11,New Brunswick,Trucks,Total overseas,20182.00,564
2020-11,Quebec,Passenger cars,North America,128420.00,4318
2020-11,Quebec,Passenger cars,Total overseas,110034.00,2679
2020-11,Quebec,Passenger cars,Japan,30282.00,925
2020-11,Quebec,Passenger cars,Other countries,79751.00,1754
2020-11,Quebec,Trucks,North America,761621.00,15636
2020-11,Quebec,Trucks,Total overseas,336098.00,8769
2020-11,Ontario,Passenger cars,North America,220200.00,6876
2020-11,Ontario,Passenger cars,Total overseas,173241.00,3975
2020-11,Ontario,Passenger cars,Japan,35556.00,1055
2020-11,Ontario,Passenger cars,Other countries,137685.00,2920
2020-11,Ontario,Trucks,North America,1726093.00,34786
2020-11,Ontario,Trucks,Total overseas,469109.00,10823
2020-11,Manitoba,Passenger cars,North America,7946.00,278
2020-11,Manitoba,Passenger cars,Total overseas,4282.00,116
2020-11,Manitoba,Passenger cars,Japan,1195.00,30
2020-11,Manitoba,Passenger cars,Other countries,3087.00,86
2020-11,Manitoba,Trucks,North America,139301.00,2546
2020-11,Manitoba,Trucks,Total overseas,22520.00,569
2020-11,Saskatchewan,Passenger cars,North America,5162.00,174
2020-11,Saskatchewan,Passenger cars,Total overseas,3231.00,81
2020-11,Saskatchewan,Passenger cars,Japan,644.00,16
2020-11,Saskatchewan,Passenger cars,Other countries,2587.00,65
2020-11,Saskatchewan,Trucks,North America,132704.00,2577
2020-11,Saskatchewan,Trucks,Total overseas,15479.00,410
2020-11,Alberta,Passenger cars,North America,26526.00,820
2020-11,Alberta,Passenger cars,Total overseas,19768.00,461
2020-11,Alberta,Passenger cars,Japan,5064.00,155
2020-11,Alberta,Passenger cars,Other countries,14704.00,306
2020-11,Alberta,Trucks,North America,574902.00,10715
2020-11,Alberta,Trucks,Total overseas,101340.00,2270
2020-11,British Columbia and the Territories,Passenger cars,North America,44132.00,1398
2020-11,British Columbia and the Territories,Passenger cars,Total overseas,53277.00,1150
2020-11,British Columbia and the Territories,Passenger cars,Japan,13145.00,397
2020-11,British Columbia and the Territories,Passenger cars,Other countries,40132.00,753
2020-11,British Columbia and the Territories,Trucks,North America,453102.00,8608
2020-11,British Columbia and the Territories,Trucks,Total overseas,146830.00,3199
